name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
HanSeul Kim,13,5,0,185.42,77.11,187.96,Southpaw,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,1.0136986301369864
Shinya Aoki,39,7,0,180.34,69.85,184.94287292817683,Southpaw,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,1.0255233055793325
Marcus Hicks,10,4,0,167.64,70.31,162.56,Southpaw,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,0.9696969696969698
Dan Evensen,11,4,0,190.5,113.4,195.41873015873017,Orthodox,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,1.025820105820106
Ralph Gracie,6,1,0,175.26,83.01,180.1527188940092,Orthodox,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,1.0279169171174782
Charlie Kohler,8,4,1,175.26,70.31,180.1527188940092,Orthodox,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,1.0279169171174782
Alberto Crane,15,5,0,165.1,70.31,168.14800000000002,Orthodox,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,1.0184615384615388
Mike Hayes,20,12,2,193.04,104.33,198.9791176470588,Orthodox,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,1.0307662538699691
Bruno Carvalho,10,5,0,172.72,69.85,177.244375,Orthodox,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,1.0261948529411764
Steve Byrnes,6,1,0,182.88,77.11,187.28926406926408,Orthodox,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,1.0241101491101492
Aliaskhab Khizriev,14,0,0,175.26,83.91,187.96,Southpaw,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,1.0724637681159421
Torrez Finney,7,0,0,172.72,83.91,190.5,Orthodox,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,1.1029411764705883
Bill Mahood,20,7,1,190.5,90.72,195.41873015873017,Orthodox,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,1.025820105820106
Marius Enache,3,3,0,180.34,70.31,184.94287292817683,Orthodox,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9,1.0255233055793325
Abongo Humphrey,7,3,0,180.34,92.99,184.94287292817683,Orthodox,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,1.0255233055793325
Antonio Trocoli,12,3,0,195.58,92.99,208.28,Orthodox,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,1.0649350649350648
Hector Urbina,17,10,1,180.34,77.11,185.42,Orthodox,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,1.028169014084507
Gabriel Bonfim,15,1,0,185.42,77.11,182.88,Orthodox,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,0.9863013698630138
James Wilks,7,4,0,185.42,77.11,190.5,Orthodox,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,1.0273972602739727
Assu Almabayev,18,2,0,162.56,56.7,165.1,Orthodox,3.18,65.0,0.49,77.0,3.67,40.0,0.0,3.7,1.015625
Nyamjargal Tumendemberel,8,0,0,170.18,56.7,180.34,Orthodox,4.43,44.0,3.62,45.0,4.68,38.0,14.0,3.7,1.0597014925373134
Jaqueline Amorim,7,1,0,160.02,52.16,172.72,Orthodox,3.42,52.0,1.81,62.0,1.57,23.0,0.0,3.7,1.0793650793650793
